iter	Passed	Remaining
0	174	174748
1	188	94136
2	200	66538
3	213	53238
4	227	45174
5	245	40745
6	259	36857
7	273	33886
8	286	31595
9	301	29880
10	313	28223
11	330	27182
12	345	26200
13	358	25235
14	371	24412
15	385	23706
16	399	23109
17	411	22448
18	424	21927
19	438	21465
20	451	21064
21	465	20686
22	477	20272
23	490	19950
24	503	19643
25	517	19374
26	529	19075
27	541	18788
28	554	18576
29	567	18365
30	581	18182
31	593	17938
32	606	17764
33	619	17606
34	633	17455
35	648	17359
36	662	17232
37	673	17051
38	686	16918
39	699	16791
40	715	16729
41	732	16705
42	747	16646
43	761	16542
44	773	16405
45	786	16305
46	799	16207
47	812	16116
48	825	16030
49	838	15938
50	851	15844
51	864	15758
52	879	15713
53	895	15691
54	912	15672
55	930	15679
56	949	15708
57	966	15701
58	985	15717
59	999	15655
60	1012	15582
61	1027	15538
62	1041	15497
63	1055	15439
64	1067	15353
65	1080	15292
66	1094	15235
67	1110	15216
68	1126	15196
69	1140	15151
70	1153	15094
71	1164	15011
72	1177	14952
73	1190	14902
74	1204	14852
75	1215	14780
76	1228	14728
77	1242	14691
78	1256	14647
79	1269	14599
80	1281	14533
81	1294	14496
82	1307	14445
83	1321	14405
84	1333	14358
85	1346	14308
86	1359	14270
87	1372	14228
88	1386	14188
89	1397	14129
90	1409	14078
91	1425	14070
92	1442	14070
93	1461	14081
94	1474	14045
95	1487	14006
96	1500	13970
97	1512	13918
98	1524	13875
99	1538	13848
100	1552	13815
101	1564	13775
102	1576	13726
103	1588	13686
104	1604	13674
105	1617	13643
106	1630	13610
107	1642	13562
108	1654	13527
109	1669	13511
110	1686	13505
111	1702	13497
112	1715	13466
113	1728	13433
114	1739	13388
115	1753	13359
116	1765	13323
117	1778	13294
118	1789	13249
119	1802	13218
120	1815	13188
121	1828	13160
122	1840	13120
123	1852	13089
124	1865	13061
125	1879	13034
126	1892	13006
127	1904	12975
128	1917	12947
129	1933	12937
130	1947	12917
131	1960	12893
132	1972	12858
133	1984	12828
134	1999	12809
135	2012	12782
136	2025	12760
137	2037	12724
138	2050	12699
139	2063	12673
140	2076	12649
141	2089	12622
142	2100	12591
143	2113	12563
144	2126	12536
145	2139	12513
146	2150	12479
147	2163	12453
148	2175	12427
149	2189	12407
150	2200	12372
151	2213	12347
152	2226	12323
153	2239	12302
154	2254	12289
155	2265	12258
156	2279	12237
157	2291	12212
158	2304	12189
159	2317	12166
160	2328	12136
161	2342	12116
162	2355	12093
163	2368	12073
164	2380	12046
165	2393	12023
166	2405	11999
167	2418	11979
168	2430	11952
169	2443	11929
170	2456	11907
171	2468	11885
172	2482	11867
173	2493	11838
174	2506	11814
175	2519	11795
176	2532	11776
177	2544	11749
178	2556	11727
179	2569	11705
180	2584	11692
181	2597	11673
182	2608	11646
183	2621	11627
184	2635	11611
185	2648	11592
186	2660	11567
187	2672	11544
188	2685	11525
189	2699	11506
190	2713	11491
191	2724	11466
192	2737	11448
193	2750	11426
194	2763	11407
195	2774	11380
196	2787	11362
197	2800	11343
198	2813	11324
199	2826	11305
